"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Ponce de Leon, Daniel","594965","70.7","","13.4","0.1","7.3","8.5","","","",""
"Civale, Aaron","650644","3.3","35.1","29.2","14.9","6.6","11.0","","","",""
"Jeffress, Jeremy","502026","28.5","34.1","","","","28.4","9.1","","",""
"Kintzler, Brandon","445213","3.7","68.5","","10.2","17.5","","","","",""
"Harper, Ryne","607560","38.7","","0.1","","0.9","60.3","","","",""
"Rodney, Fernando","407845","20.6","47.4","","3.3","28.8","","","","",""
"Dyson, Sam","473879","9.9","45.2","27.3","7.0","10.6","","","","",""
"Davis, Wade","451584","44.6","0.4","34.8","","1.4","18.8","","","",""
"Marshall, Evan","605359","23.4","20.7","","","39.2","16.7","","","",""
"Nicasio, Juan","504379","41.9","12.1","","45.7","0.2","","","","",""
"Kittredge, Andrew","552640","18.5","39.7","","37.3","4.5","","","","",""
"Giles, Ken","571704","49.0","1.6","","49.4","","","","","",""
