antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,ante_len,cons_len
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Cutter Aces (Elite FC)'})",frozenset({'outcome_double'}),0.01614068528738106,0.04856040459317787,0.0008147203049820916,0.05047619047619048,1.0394516046367899,1.0,3.0922097015714e-05,1.0020176280613473,0.03857690633015741,0.012752646775745911,0.0020135654352218205,0.033626825849048074,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_League-Average Pitch Quality'})",frozenset({'outcome_double'}),0.2546231534287427,0.04856040459317787,0.01278957158009623,0.050229413185220964,1.0343697423039504,1.0,0.00042496823080567965,1.0017572755097002,0.04457840953618366,0.04404213646710075,0.0017541929094610049,0.1568019493909644,2,1
"frozenset({'batter_arch_Selective / Moderate', 'pitcher_arch_Fastball Generalists (Good FF + Good SI)'})",frozenset({'outcome_single'}),0.015571918282016203,0.14526616758642952,0.002336556346363734,0.15004935834155972,1.0329270802321149,1.0,7.448345556618306e-05,1.0056276100289743,0.032381694007035194,0.014741538163126759,0.005596117263339837,0.0830670072131079,2,1
"frozenset({'pitcher_arch_Sinkers Get Hit (Bad SI)', 'batter_arch_Selective / Moderate'})",frozenset({'outcome_single'}),0.015049267520329578,0.14526616758642952,0.002244323859007271,0.1491317671092952,1.026610459868887,1.0,5.817444134606411e-05,1.0045431235688902,0.026316745920064277,0.014198191189341632,0.004522576942988362,0.08229075127951534,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_League-Average Pitch Quality'})",frozenset({'outcome_single'}),0.2546231534287427,0.14526616758642952,0.037830691897375986,0.14857522337599616,1.0227792599236698,1.0,0.0008425622200110908,1.0038864922426705,0.029880082974620296,0.10448775102959285,0.0038714458982191356,0.2044992518996383,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Weak Fastball Group (Bad FF)'})",frozenset({'outcome_double'}),0.12262309194041782,0.04856040459317787,0.006041227921848339,0.04926664159458442,1.0145434744072492,1.0,8.660096475520112e-05,1.000742833934628,0.016338467151605463,0.03658196034627199,0.00074228254196692,0.08683654966718775,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Slider Aces (Elite SL)'})",frozenset({'outcome_double'}),0.05684595637403348,0.04856040459317787,0.00279771878314605,0.04921579232017306,1.0134963399190309,1.0,3.7256142136845964e-05,1.0006893128027383,0.014119235828957967,0.027265917602996254,0.0006888379779012235,0.05341448052222645,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Changeup Specialists (Elite CH)'})",frozenset({'outcome_single'}),0.01690928934868492,0.14526616758642952,0.002474905077398429,0.14636363636363636,1.0075548821548823,1.0,1.8557417104938037e-05,1.001285639675109,0.007627204489166381,0.01549716045817692,0.0012839889280009508,0.0817003367003367,2,1
"frozenset({'pitcher_arch_Weak Fastball Group (Bad FF)', 'batter_arch_Selective / Moderate'})",frozenset({'outcome_single'}),0.03736952946059367,0.14526616758642952,0.005441716754031328,0.14561908679555735,1.0024294659588775,1.0,1.3188424782712392e-05,1.0004130700998506,0.0025176617953618025,0.030710505769063933,0.0004128995433950135,0.09153970212793741,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Four-Seam Aces (Elite FF Quality)'})",frozenset({'outcome_single'}),0.12660446097797182,0.14526616758642952,0.018431125390066562,0.14558037882467217,1.0021630035641693,1.0,3.978054445093193e-05,1.0003677481537823,0.002471200024813781,0.07272396433553709,0.00036761296479325816,0.13622934285148952,2,1
